タスクリスト	タスク名	ステータス	期限	完了日時	メモ	更新日時	親タスクID	タスクID
AI	改善 claude chrome	未完了
AI	.claude 育てる	未完了
AI	code 活用事例28 KEITA	未完了
AI	code 初期設定	未完了
AI	code コマンド早見表	未完了
AI	code 堅めのセキュリティ	未完了
AI	code 階層、フォルダ 公式	未完了
AI	code エージェントのつくりかた	未完了
AI	code skill	未完了
AI	codeコンソール	未完了
AI	Claude code	未完了
AI	ニュース codeクラウド実行	未完了
AI	antigravity 日本語プロンプト	未完了
AI	antigravity	未完了
AI	ブラウザ操作	未完了
AI	拡張機能 PC変更	未完了
AI	cowork 導入の注意	未完了
AI	cowork	未完了
AI	channels 設定	未完了
AI	google AI Studio	未完了
AI	Tasks →スプシ化	未完了
AI	meet文字起こしと構造化 Gemini？	未完了
AI	skills人格設定	未完了
AI	投資	未完了
AI	notebookLM プロンプト保管庫	未完了
AI	gem x LM すべて	未完了
AI	（書籍LM）	未完了
AI	.claude フォルダ 説明	未完了
AI	例1 価格比較	未完了
AI	例2 週レポート作成	未完了
AI	例3 日タスク作成→tasksからも？	未完了
AI	例4 スライド作成	未完了
AI	例5 ダサくないスライド	未完了
